test,signal,horizon,avg_return,med_return,winrate,sample_count
turning_point,out_to_in_N2,1d,0.11640831515462616,0.11000000000001009,52.75247016553317,7793
turning_point,out_to_in_N2,3d,0.3853647248329216,0.3471665630000009,55.63148902615323,7609
turning_point,out_to_in_N2,5d,0.7160402644215907,0.5508841325887692,56.24245675204506,7457
turning_point,out_to_in_N2,10d,1.0902406982639787,0.8270283162786329,57.07827069793727,7078
turning_point,out_to_in_N2,20d,2.327383278685238,1.6886904858495644,59.22684172137126,6855
turning_point,in_to_out_N2,1d,0.3109445018958979,0.19000000000000128,54.87762840399862,2901
turning_point,in_to_out_N2,3d,0.47856047581768013,0.24669691819998452,53.63796133567662,2845
turning_point,in_to_out_N2,5d,0.48855272352561646,0.33884369342542797,53.43012704174228,2755
turning_point,in_to_out_N2,10d,1.096543670104146,0.6333146410926971,55.186880244088485,2622
turning_point,in_to_out_N2,20d,2.5197727871057483,1.9191957701434559,59.983799108951,2469
turning_point,out_to_in_N3,1d,0.07822371919872378,0.08999999999999009,52.153873426697395,5641
turning_point,out_to_in_N3,3d,0.3208679913033279,0.3443704311999918,55.48923856031832,5529
turning_point,out_to_in_N3,5d,0.651738417911005,0.5577421665849069,56.39933320985367,5399
turning_point,out_to_in_N3,10d,0.9770951185183276,0.7735905850564717,56.59126365054602,5128
turning_point,out_to_in_N3,20d,2.0944700744200495,1.4994441346515175,58.561779896702426,5034
turning_point,out_to_in_N5,1d,0.12371648793565707,0.11000000000001009,52.647453083109916,2984
turning_point,out_to_in_N5,3d,0.44854851355913944,0.3671824778000099,56.55765920826161,2905
turning_point,out_to_in_N5,5d,0.822443826612269,0.6706470945642473,57.83898305084746,2832
turning_point,out_to_in_N5,10d,0.8869877314942964,0.6893767722101152,55.61674008810573,2724
turning_point,out_to_in_N5,20d,2.0638567930265133,1.3307524269450033,57.20118782479584,2694
turning_point,in_to_out_N3,1d,0.13384615384615367,0.014999999999998348,50.256410256410255,780
turning_point,in_to_out_N3,3d,0.07625146337609548,-0.03438588940002374,49.800796812749006,753
turning_point,in_to_out_N3,5d,0.03416008566437199,0.23281043283570613,52.03804347826087,736
turning_point,in_to_out_N3,10d,0.8580537526196836,0.6680912928191063,55.686853766617425,677
turning_point,in_to_out_N3,20d,2.0972460494107423,2.2752909635623153,61.631419939577036,662
turning_point,in_to_out_N5,1d,0.4073333333333332,-0.12499999999999734,48.333333333333336,60
turning_point,in_to_out_N5,3d,-0.29768173253898156,-0.47199758079998766,38.983050847457626,59
turning_point,in_to_out_N5,5d,-0.6196595021335273,-0.715340653555846,43.103448275862064,58
turning_point,in_to_out_N5,10d,0.515291365079267,0.14487657239712348,52.72727272727272,55
turning_point,in_to_out_N5,20d,2.9784274685958496,3.043437344721367,70.9090909090909,55
