factor,regime,spread_1d,spread_3d,spread_5d,spread_10d,spread_20d
大单净流入,all,-0.07226742169659549,-0.12098523093673556,-0.14203820807292178,-0.17946139815314827,-0.27802298906613865
大单净流入,bull,-0.07982311042367872,-0.14294786922488845,-0.12360520131807565,-0.17841788030821654,-0.35046801837051783
大单净流入,bear,-0.061473693775537824,-0.08975619069732116,-0.16812626604272063,-0.1809191173627807,-0.17902824265426842
小单净流入,all,0.06747114371687311,0.10954954205302134,0.12295525587560277,0.16543699459590783,0.2675468906570667
小单净流入,bull,0.07773576582930486,0.12161840090463677,0.08097055805298672,0.1598033770535751,0.3381252643943548
小单净流入,bear,0.052812153771590695,0.09239329256894437,0.18237601303353243,0.1733093087422657,0.17107627852400098
全口径净流入,all,0.00984412879317427,0.0022323232027120637,-0.0940554036011326,-0.2429759449920456,-0.40560393251095717
全口径净流入,bull,-0.010499562210938507,-0.06232659236359939,-0.14132663065983592,-0.39506075794296225,-0.6789277054269316
全口径净流入,bear,0.03890439581288095,0.0940277625452966,-0.0271511987012735,-0.030211780922472065,-0.03214871494992955
MOD修正大单,all,-0.012800174155349342,-0.0712366438768775,-0.12117606779978532,-0.28047029922606037,-0.4028858093224438
MOD修正大单,bull,-0.006501491598659384,-0.07587211402754365,-0.162139460894592,-0.30097945091872874,-0.5482118914717621
MOD修正大单,bear,-0.02179524760531823,-0.06464424418523848,-0.06320026632037337,-0.2517795652565997,-0.2043255147314218
