indicator,direction,count,winrate_T1,avgret_T1,winrate_T2,avgret_T2,winrate_T3,avgret_T3,winrate_T5,avgret_T5,winrate_T7,avgret_T7,winrate_T10,avgret_T10,winrate_T15,avgret_T15,winrate_T20,avgret_T20,winrate_T30,avgret_T30,winrate_T45,avgret_T45,winrate_T60,avgret_T60
MA,buy,121269,54.93,0.348,55.86,0.564,56.45,0.66,57.58,1.106,54.44,0.946,49.18,0.745,42.81,0.505,50.89,2.332,62.75,3.717,59.29,4.768,63.84,8.45
MA,sell,115032,53.53,0.002,51.25,0.062,50.01,0.178,49.28,0.561,50.45,0.64,53.62,0.513,57.68,0.526,52.12,2.028,54.01,1.043,53.22,1.779,55.61,2.466
MACD,buy,7765,45.64,0.116,44.84,-0.095,43.19,-0.363,41.58,-0.445,41.12,-0.361,39.38,-0.492,40.46,0.221,53.18,3.196,51.28,2.884,54.29,5.334,74.19,12.379
MACD,sell,9005,46.92,0.111,42.42,0.566,41.11,0.811,38.66,1.518,42.24,1.324,46.32,1.23,54.85,1.206,46.74,2.848,69.57,-0.575,68.29,0.31,67.57,1.556
RSI,buy,23545,48.6,0.054,54.46,0.343,56.68,0.587,58.54,1.132,55.3,0.922,47.55,0.261,39.58,-0.169,49.57,1.947,53.0,2.104,57.14,3.193,62.16,6.718
RSI,sell,25561,53.02,0.045,53.01,-0.037,53.65,-0.061,52.75,0.219,53.14,0.306,55.23,0.189,55.28,0.722,48.09,2.351,46.04,3.435,46.32,5.144,48.84,6.919
换手率,buy,67361,48.51,0.094,50.74,0.169,52.75,0.245,51.07,0.369,47.12,0.114,39.44,-0.648,36.02,-0.546,41.89,0.681,56.56,2.084,48.6,3.21,54.48,6.593
换手率,sell,65103,52.68,0.019,53.31,-0.035,52.93,0.011,50.21,0.512,50.91,0.632,55.73,0.235,56.62,0.635,49.93,2.204,43.47,3.638,47.12,4.391,47.14,5.536
资金流向,buy,4205,44.47,0.039,45.15,-0.222,47.57,-0.026,46.02,0.203,46.24,0.341,45.54,0.443,41.42,0.294,50.0,2.815,,,,,,
资金流向,sell,3373,52.03,0.123,50.89,0.396,49.05,0.584,46.12,1.183,45.93,1.3,48.99,0.991,49.43,1.873,41.62,4.23,,,,,,
