indicator,signal_name,direction,count,best_window,best_winrate,decay_window,decay_winrate,T60_winrate,always_noise
MA,bias10_extreme_low,buy,19281,30,72.34,,,62.16,False
MA,bias5_extreme_low,buy,19137,5,67.03,15.0,48.39,57.89,False
MA,bias20_extreme_low,buy,17742,45,76.74,,,76.74,False
MA,bias60_extreme_low,buy,12233,45,100.0,,,89.66,False
MA,ma5_cross_ma10_golden,buy,8603,5,49.07,7.0,46.18,,True
MA,ma20_fake_break_down,buy,5417,20,55.6,,,,False
MA,ma60_break_up,buy,5354,3,50.61,5.0,48.24,,True
MA,ma20_break_up,buy,5026,20,51.23,,,,True
MA,ma20_support,buy,4410,1,100.0,15.0,49.55,,False
MA,ma5_cross_ma20_golden,buy,4309,20,44.83,,,,True
MA,ma60_fake_break_down,buy,3409,3,53.76,7.0,49.86,,False
MA,alignment_bull,buy,3403,20,48.34,,,,True
MA,ma10_cross_ma20_golden,buy,3220,20,48.96,,,,True
MA,ma60_support,buy,2871,1,100.0,15.0,43.08,,False
MA,ma5_cross_ma30_golden,buy,2813,5,42.68,7.0,41.85,,True
MA,ma10_cross_ma30_golden,buy,1589,20,47.37,,,,True
MA,ma20_cross_ma30_golden,buy,1476,5,51.11,7.0,49.79,,True
MA,convergence_bull,buy,976,5,44.89,7.0,44.01,,True
MA,bias60_extreme_high,sell,17468,60,80.0,,,80.0,False
MA,bias5_extreme_high,sell,13271,15,60.01,30.0,43.14,44.9,False
MA,bias10_extreme_high,sell,11838,20,59.53,30.0,44.44,48.15,False
MA,bias20_extreme_high,sell,11293,15,57.06,30.0,50.0,54.69,False
MA,ma5_cross_ma10_death,sell,7359,30,56.67,,,,False
MA,ma20_break_down,sell,7178,15,57.27,,,,False
MA,ma20_fake_break_up,sell,5684,10,54.14,20.0,45.43,,False
MA,ma5_cross_ma20_death,sell,5130,15,51.76,20.0,41.75,,True
MA,ma10_cross_ma20_death,sell,4995,15,54.43,,,,False
MA,ma60_break_down,sell,4988,15,56.69,20.0,44.08,,False
MA,ma20_resist,sell,4943,1,100.0,,,63.41,False
MA,ma5_cross_ma30_death,sell,4308,15,59.85,20.0,51.83,,False
MA,ma10_cross_ma30_death,sell,3847,15,61.41,,,,False
MA,ma20_cross_ma30_death,sell,3793,15,67.37,,,,False
MA,ma60_resist,sell,2784,1,100.0,,,,False
MA,ma60_fake_break_up,sell,2730,15,55.18,20.0,47.29,,False
MA,alignment_bear,sell,2095,15,68.39,,,,False
MA,convergence_bear,sell,1328,15,69.14,,,,False
MACD,zero_golden_cross,buy,3213,20,46.75,,,,True
MACD,golden_cross,buy,2477,20,43.53,,,,True
MACD,dif_cross_zero_up,buy,1780,1,45.11,2.0,44.94,,True
MACD,dif_trough,buy,230,1,98.26,,,,False
MACD,death_cross,sell,4112,15,47.36,20.0,35.51,,True
MACD,dif_cross_zero_down,sell,3283,15,61.11,,,,False
MACD,zero_death_cross,sell,1498,10,61.61,20.0,40.13,,False
MACD,dif_peak,sell,101,1,100.0,,,,False
RSI,rsi14_cross_above_50,buy,8300,20,51.26,30.0,43.24,,True
RSI,rsi6_oversold,buy,6452,5,62.96,10.0,51.82,,False
RSI,rsi14_adaptive_low,buy,5071,5,64.51,10.0,49.55,,False
RSI,rsi12_oversold,buy,1547,5,70.51,10.0,44.49,,False
RSI,rsi14_oversold,buy,954,5,71.02,10.0,47.02,,False
RSI,rsi14_bull_failure_swing,buy,712,20,46.59,,,,True
RSI,rsi14_bull_divergence,buy,394,5,99.49,15.0,49.54,,False
RSI,rsi14_cross_below_50,sell,8791,30,72.5,,,66.67,False
RSI,rsi6_overbought,sell,5355,10,59.33,30.0,40.62,43.75,False
RSI,rsi14_adaptive_high,sell,3342,15,59.36,,,,False
RSI,rsi12_overbought,sell,2285,10,58.31,,,,False
RSI,rsi14_overbought,sell,1862,15,58.63,,,,False
RSI,rsi14_bear_failure_swing,sell,1739,15,46.44,20.0,37.73,,True
RSI,rsi14_bear_divergence,sell,947,5,99.58,,,,False
RSI,rsi24_overbought,sell,858,5,58.08,,,,False
RSI,rsi14_strong_overbought,sell,382,20,58.73,,,,False
换手率,zone_low,buy,27521,30,56.78,45.0,48.31,55.1,False
换手率,price_down_vol_up,buy,19241,30,56.95,45.0,45.45,51.69,False
换手率,extreme_low,buy,8572,3,50.6,5.0,48.46,,True
换手率,ma_cross_up,buy,6040,45,64.86,,,61.11,False
换手率,sustained_low,buy,5987,1,61.27,5.0,51.27,,False
换手率,price_up_vol_down,sell,26593,10,60.45,30.0,47.45,45.9,False
换手率,zone_high,sell,24252,15,55.25,20.0,48.74,53.33,False
换手率,extreme_high,sell,6601,15,57.36,20.0,51.15,,False
换手率,ma_cross_down,sell,6267,15,53.24,20.0,45.92,35.14,False
换手率,sustained_high,sell,1390,1,64.96,20.0,44.53,,False
资金流向,极端净流入,buy,4205,20,50.0,,,,True
资金流向,极端净流出,sell,3373,1,52.03,2.0,50.89,,False
