lookback,buy_th,sell_th,max_hold,min_deal,total_return,annual_return,max_drawdown,sharpe,excess_total,trades,win_rate,avg_return,avg_hold
10,0.8,0.2,15,50000000.0,108.56212169346749,111.71442295042269,-24.588360318539284,1.5721179203270519,93.88884639003648,28,60.71428571428571,3.003431389143665,8.535714285714286
20,0.8,0.2,15,50000000.0,31.94995676981518,32.69867423783741,-39.12069491752092,0.7602146694297927,17.27668146638417,24,66.66666666666666,1.432339446485525,9.75
30,0.8,0.2,15,50000000.0,16.04027272924067,16.393113747258536,-41.30740500216427,0.5103764871231633,1.366997425809659,22,59.09090909090909,1.3925527827228046,10.409090909090908
20,0.9,0.1,15,50000000.0,-24.697393905891285,-25.1320528420915,-33.90511546888676,-0.2477557698067392,-39.370669209322294,18,50.0,-1.1622244564625117,13.0
20,0.7,0.3,15,50000000.0,-14.382616687902361,-14.653510196428442,-44.52355876662908,0.00486283058894763,-29.05589199133337,26,57.692307692307686,0.15774399204518894,9.0
20,0.8,0.2,10,50000000.0,-17.263126343010406,-17.582488704903774,-33.60972095423731,-0.14176658525974592,-31.936401646441418,29,51.724137931034484,-0.2986666022827089,8.068965517241379
20,0.8,0.2,5,50000000.0,49.887884069460696,51.13101560579931,-30.187893482755673,0.9356861711231387,35.214608766029684,52,48.07692307692308,1.1410767589614992,4.5
20,0.8,0.2,15,10000000.0,31.94995676981518,32.69867423783741,-39.12069491752092,0.7602146694297927,17.27668146638417,24,66.66666666666666,1.432339446485525,9.75
20,0.8,0.2,15,100000000.0,31.94995676981518,32.69867423783741,-39.12069491752092,0.7602146694297927,17.27668146638417,24,66.66666666666666,1.432339446485525,9.75
30,0.9,0.1,10,50000000.0,119.09559522259721,122.63085464719836,-25.071448671213286,1.6085166441172354,104.4223199191662,27,51.85185185185185,3.3470017650040083,8.481481481481481
